x = -1, Actual y = 0.35322690848236, Predicted y = NaN
x = -0.97979797979798, Actual y = 0.354978662414129, Predicted y = NaN
x = -0.95959595959596, Actual y = 0.352231121729726, Predicted y = NaN
x = -0.939393939393939, Actual y = 0.344681547476605, Predicted y = NaN
x = -0.919191919191919, Actual y = 0.332080325774286, Predicted y = NaN
x = -0.898989898989899, Actual y = 0.314238777197229, Predicted y = NaN
x = -0.878787878787879, Actual y = 0.291036367733596, Predicted y = NaN
x = -0.858585858585859, Actual y = 0.262427143911851, Predicted y = NaN
x = -0.838383838383838, Actual y = 0.228445220004828, Predicted y = NaN
x = -0.818181818181818, Actual y = 0.1892091546214, Predicted y = NaN
x = -0.797979797979798, Actual y = 0.144925067493977, Predicted y = NaN
x = -0.777777777777778, Actual y = 0.0958883647818509, Predicted y = NaN
x = -0.757575757575758, Actual y = 0.0424839625495819, Predicted y = NaN
x = -0.737373737373737, Actual y = -0.0148150770427492, Predicted y = NaN
x = -0.717171717171717, Actual y = -0.0754505542743096, Predicted y = NaN
x = -0.696969696969697, Actual y = -0.138783811870795, Predicted y = NaN
x = -0.676767676767677, Actual y = -0.204102080453067, Predicted y = NaN
x = -0.656565656565657, Actual y = -0.270626449179677, Predicted y = NaN
x = -0.636363636363636, Actual y = -0.337521386398483, Predicted y = NaN
x = -0.616161616161616, Actual y = -0.403905700230282, Predicted y = NaN
x = -0.595959595959596, Actual y = -0.468864794959068, Predicted y = NaN
x = -0.575757575757576, Actual y = -0.531464046711275, Predicted y = NaN
x = -0.555555555555556, Actual y = -0.590763091976412, Predicted y = NaN
x = -0.535353535353535, Actual y = -0.64583079583278, Predicted y = NaN
x = -0.515151515151515, Actual y = -0.695760644026199, Predicted y = NaN
x = -0.494949494949495, Actual y = -0.739686284970436, Predicted y = NaN
x = -0.474747474747475, Actual y = -0.776796934872288, Predicted y = NaN
x = -0.454545454545454, Actual y = -0.806352352004202, Predicted y = NaN
x = -0.434343434343434, Actual y = -0.827697085005531, Predicted y = NaN
x = -0.414141414141414, Actual y = -0.840273705209702, Predicted y = NaN
x = -0.393939393939394, Actual y = -0.843634744446489, Predicted y = NaN
x = -0.373737373737374, Actual y = -0.837453077485235, Predicted y = NaN
x = -0.353535353535353, Actual y = -0.821530512044482, Predicted y = NaN
x = -0.333333333333333, Actual y = -0.795804378724626, Predicted y = NaN
x = -0.313131313131313, Actual y = -0.760351947807247, Predicted y = NaN
x = -0.292929292929293, Actual y = -0.715392538957015, Predicted y = NaN
x = -0.272727272727273, Actual y = -0.661287232686934, Predicted y = NaN
x = -0.252525252525252, Actual y = -0.598536138126955, Predicted y = NaN
x = -0.232323232323232, Actual y = -0.52777321920564, Predicted y = NaN
x = -0.212121212121212, Actual y = -0.449758729786792, Predicted y = NaN
x = -0.191919191919192, Actual y = -0.365369356530653, Predicted y = NaN
x = -0.171717171717172, Actual y = -0.275586215191739, Predicted y = NaN
x = -0.151515151515151, Actual y = -0.181480890654858, Predicted y = NaN
x = -0.131313131313131, Actual y = -0.0841997522192636, Predicted y = NaN
x = -0.111111111111111, Actual y = 0.0150531874941942, Predicted y = NaN
x = -0.0909090909090908, Actual y = 0.115034569988846, Predicted y = NaN
x = -0.0707070707070706, Actual y = 0.214480818992603, Predicted y = NaN
x = -0.0505050505050504, Actual y = 0.312127754441901, Predicted y = NaN
x = -0.0303030303030303, Actual y = 0.406730335583859, Predicted y = NaN
x = -0.0101010101010101, Actual y = 0.497082171830163, Predicted y = NaN
x = 0.0101010101010102, Actual y = 0.582034442931606, Predicted y = NaN
x = 0.0303030303030305, Actual y = 0.660513880481713, Predicted y = NaN
